"","x","y","sp","Reference"
"231",-50.0375,-27.091944,"Alsophila setosa","IFFSC"
"232",-50.03,-24.5,"Cyathea villosa","GBIF"
"233",-50.018056,-29.678889,"Alsophila setosa","GBIF"
"234",-50.018056,-29.678889,"Cyathea atrovirens","GBIF"
"235",-50.001278,-29.186167,"Lophosoria quadripinnata","GBIF"
"236",-50,-27,"Cyathea delgadii","GBIF"
"237",-50,-27,"Cyathea phalerata","GBIF"
"238",-49.950833,-26.149444,"Cyathea corcovadensis","GBIF"
"239",-49.950833,-26.099444,"Alsophila setosa","IFFSC"
"240",-49.950833,-26.099444,"Cyathea phalerata","IFFSC"
"241",-49.950556,-26.730278,"Cyathea feeana","GBIF"
"242",-49.950556,-26.730278,"Dicksonia sellowiana","GBIF"
"243",-49.949722,-26.64,"Cyathea corcovadensis","IFFSC"
"244",-49.948889,-26.460278,"Alsophila setosa","IFFSC"
"245",-49.9475,-26.549722,"Cyathea phalerata","GBIF"
"246",-49.946667,-29.358194,"Cyathea phalerata","GBIF"
"247",-49.94,-25.4,"Cyathea villosa","SpeciesLink"
"248",-49.923078,-29.319981,"Dicksonia sellowiana","GBIF"
"249",-49.914192,-29.416453,"Cyathea atrovirens","GBIF"
"250",-49.913083,-29.417889,"Cyathea corcovadensis","GBIF"
"251",-49.913056,-29.417778,"Alsophila setosa","GBIF"
"252",-49.8625,-26.909722,"Alsophila setosa","IFFSC"
"253",-49.861944,-28.169167,"Dicksonia sellowiana","IFFSC"
"254",-49.861667,-27.450556,"Alsophila setosa","IFFSC"
"255",-49.86,-29.07,"Alsophila setosa","GBIF"
"256",-49.86,-29.07,"Cyathea atrovirens","GBIF"
"257",-49.86,-29.07,"Cyathea phalerata","GBIF"
"258",-49.86,-28.89,"Dicksonia sellowiana","GBIF"
"259",-49.86,-28.89,"Lophosoria quadripinnata","GBIF"
"260",-49.86,-28.8,"Alsophila setosa","GBIF"
"261",-49.86,-28.8,"Cyathea corcovadensis","GBIF"
"262",-49.86,-28.8,"Cyathea delgadii","GBIF"
"263",-49.86,-27.72,"Dicksonia sellowiana","GBIF"
"264",-49.86,-26.64,"Cyathea delgadii","IFFSC"
"265",-49.8575,-27.089444,"Cyathea corcovadensis","IFFSC"
"266",-49.849902,-29.368799,"Cyathea delgadii","GBIF"
"267",-49.841389,-29.324722,"Lophosoria quadripinnata","GBIF"
"268",-49.838611,-26.682222,"Alsophila setosa","GBIF"
"269",-49.8,-25.05,"Alsophila setosa","GBIF"
"270",-49.8,-25.05,"Cyathea villosa","GBIF"
"271",-49.770833,-27.45,"Cyathea corcovadensis","IFFSC"
"272",-49.770833,-27.270278,"Cyathea delgadii","GBIF"
"273",-49.770833,-27.270278,"Sphaeropteris gardneri","GBIF"
"274",-49.770833,-26.549722,"Cyathea feeana","GBIF"
"275",-49.770833,-26.549722,"Dicksonia sellowiana","IFFSC"
"276",-49.770556,-27.54,"Cyathea phalerata","IFFSC"
"277",-49.770556,-27.54,"Dicksonia sellowiana","IFFSC"
"278",-49.770278,-27.27,"Alsophila setosa","IFFSC"
"279",-49.77,-28.71,"Cyathea atrovirens","GBIF"
"280",-49.77,-27.09,"Cyathea phalerata","IFFSC"
"281",-49.77,-26.821667,"Cyathea hirsuta","GBIF"
"282",-49.77,-26.821667,"Dicksonia sellowiana","GBIF"
"283",-49.77,-26.19,"Dicksonia sellowiana","IFFSC"
