x;y;Species;Reference
-48.3064;-25.5565;Cyathea atrovirens;GBIF
-50.81365;-29.80614;Cyathea atrovirens;GBIF
-52.758611;-23.913611;Cyathea atrovirens;GBIF
-49.212778;-28.186667;Cyathea atrovirens;GBIF
-52.398639;-24.089111;Cyathea atrovirens;GBIF
-55.338333;-27.159722;Cyathea atrovirens;GBIF
-48.78;-25.38;Cyathea atrovirens;GBIF
-54.8169;-25.6417;Cyathea atrovirens;GBIF
-53.63;-26.25;Cyathea atrovirens;GBIF
-55.7706;-26.2875;Cyathea atrovirens;GBIF
-55.5278;-24.1331;Cyathea atrovirens;GBIF
-49.408889;-28.621944;Cyathea atrovirens;GBIF
-48.688889;-26.5525;Cyathea atrovirens;GBIF
-46775;-23895;Cyathea atrovirens;GBIF
-49.0005746;-24.65387252;Cyathea atrovirens;GBIF
-51.07882773;-26.2421851;Cyathea atrovirens;GBIF
-48.84617167;-26.30829608;Cyathea atrovirens;GBIF
-48.65;-26.15;Cyathea atrovirens;GBIF
-46.32;-23.78;Cyathea atrovirens;GBIF
-48.8347669;-25.48078485;Cyathea atrovirens;GBIF
-48.631716;-25.548936;Cyathea atrovirens;GBIF
-47.992538;-25.197304;Cyathea atrovirens;GBIF
-52.37894729;-29.99362202;Cyathea atrovirens;GBIF
-55.55;-27.27;Cyathea atrovirens;GBIF
-54.4744;-25.6894;Cyathea atrovirens;GBIF
-48.96;-27.54;Cyathea atrovirens;GBIF
-49.087222;-26.957222;Cyathea atrovirens;GBIF
-50.231944;-30.087778;Cyathea atrovirens;GBIF
-52.405417;-24.01675;Cyathea atrovirens;GBIF
-50.110556;-29.512778;Cyathea atrovirens;GBIF
-51.394217;-29.420572;Cyathea atrovirens;GBIF
-55.054167;-27.331111;Cyathea atrovirens;GBIF
-50.115147;-29.119564;Cyathea atrovirens;GBIF
-50.104969;-29.132972;Cyathea atrovirens;GBIF
-50.118572;-29.134469;Cyathea atrovirens;GBIF
-50.018056;-29.678889;Cyathea atrovirens;GBIF
-49.914192;-29.416453;Cyathea atrovirens;GBIF
-50.974481;-29.503944;Cyathea atrovirens;GBIF
-51.052778;-29.678889;Cyathea atrovirens;GBIF
-50.146667;-29.775556;Cyathea atrovirens;GBIF
-46.948306;-23.827194;Cyathea atrovirens;GBIF
-49.116667;-27.268611;Cyathea atrovirens;GBIF
-48.128889;-25.068611;Cyathea atrovirens;GBIF
-48.467139;-24.636944;Cyathea atrovirens;GBIF
-48.05;-24.2;Cyathea atrovirens;GBIF
-48.419167;-24.2775;Cyathea atrovirens;GBIF
-47.916667;-24.2;Cyathea atrovirens;GBIF
-46.930833;-24.220222;Cyathea atrovirens;GBIF
-46.735278;-23.985278;Cyathea atrovirens;GBIF
-55.516667;-27.316667;Cyathea atrovirens;GBIF
-55.539167;-27.258611;Cyathea atrovirens;GBIF
-46.503889;-24.015833;Cyathea atrovirens;GBIF
-46.500556;-24.005556;Cyathea atrovirens;GBIF
-48.690278;-27.361389;Cyathea atrovirens;GBIF
-53.669167;-25.089583;Cyathea atrovirens;GBIF
-51;-24;Cyathea atrovirens;GBIF
-54.8333;-25.5;Cyathea atrovirens;GBIF
-48.693333;-24.539444;Cyathea atrovirens;GBIF
-49.924167;-29.318889;Cyathea atrovirens;GBIF
-48.96;-27.449722;Cyathea atrovirens;GBIF
-49.216667;-25.283333;Cyathea atrovirens;GBIF
-48.483333;-27.566667;Cyathea atrovirens;GBIF
-53.754222;-25.108389;Cyathea atrovirens;GBIF
-47.92;-25;Cyathea atrovirens;GBIF
-48.9;-27.1;Cyathea atrovirens;GBIF
-47.9;-24.37;Cyathea atrovirens;GBIF
-53.873889;-29.627778;Cyathea atrovirens;GBIF
-50.150194;-29.790389;Cyathea atrovirens;GBIF
-50.844056;-25.82875;Cyathea atrovirens;GBIF
-49.460556;-26.284167;Cyathea atrovirens;GBIF
-50.186944;-29.868889;Cyathea atrovirens;GBIF
-48;-25.16666;Cyathea atrovirens;GBIF
-55.33333;-26.16666;Cyathea atrovirens;GBIF
-56.25;-25.91666;Cyathea atrovirens;GBIF
-56.1515;-25.8998;Cyathea atrovirens;GBIF
-55.45;-26.16666;Cyathea atrovirens;GBIF
